Job Title,Company,Location,Salary,Posting Date,Summary
newData Quality Analyst - C10 - Chennai (R21031191),Citi,"Chennai, Tamil Nadu","Implement data quality strategies to effectively govern data and improve data quality.
Works with data quality partners and Technology teams to identify and…",,7 days ago
Markets Data Management Analyst,NatWest Markets,"Chennai, Tamil Nadu","Acting as a point of contact for static data queries and requests.
You’ll need to have excellent analytical skills, with a structured and methodical approach…",,8 days ago
Associate Analyst - Data Analyst,AstraZeneca,"Chennai, Tamil Nadu","Experience in translating requirements into fit for purpose data models, data processing designs and data profile reportsExperience in the use of data modeling…",,22 days ago
newR&A CO Data and MI Analyst,Shell,"Chennai, Tamil Nadu","This role is ideal for a “data junkie” who finds joy in solving problems using data, and keen on a career in data science or data engineering.",,Today
newData Analyst 2,PayPal,"Chennai, Tamil Nadu",Analytics professional with a proven track record of extracting and manipulating data using SQL and leveraging advance Tableau and Microsoft Excel features for…,,Today
Data Analyst,Hitachi Energy,"Chennai, Tamil Nadu","Display technical expertise in data analytics to a team of diversified technical competencies.
Use data visualization tools such as Power BI and Tableau to…",,30+ days ago
newData Operations Analyst,Athenahealth,"Chennai, Tamil Nadu",Your job will be to improve quality practitioner data in Practitioner Directory through data validation and curation techniques.,,6 days ago
Data Analytics Intmd Analyst - C11,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Knowledge of tools for statistical modeling of large data sets.",,13 days ago
Data Analyst,Freshworks,"Chennai, Tamil Nadu","Create and maintain rich interactive visualizations through data interpretation and analysis, integrating various reporting components from multiple data…",,16 days ago
Data Analyst 3,Comcast,"Chennai, Tamil Nadu","Work closely with our data engineers to ensure accurate and timely data.
Work with data modelers/analysts to understand the business problems they are trying to…",,12 days ago
newBusiness Intelligence Analyst,BorgWarner,"Chennai, Tamil Nadu","Act as a data steward, investing in understanding data sources and key data integration points.
Identify source data quality issues and suggest improvements.",,4 days ago
Data Analyst,Standard Chartered,"Chennai, Tamil Nadu","Upstream data teams, who provide the data that the analyst is sourcing.
High quality written and verbal communication skills, with the ability to focus on…",,30+ days ago
Data Investigations Analyst,Standard Chartered,"Chennai, Tamil Nadu","Strong experience working with data and/or data remediation and reconciliation at multiple level.
Proactive identification of data quality issues arising across…",,30+ days ago
"newAnalyst, Data Engineering",Standard Chartered,"Chennai, Tamil Nadu","Configure, develop and deliver data ingestion scripts for loading data into T1 data layer.
Facilitate testing and implement bug fixes and support the product…",,2 days ago
Data & Reporting Analyst,Icon plc,"Chennai, Tamil Nadu",Provide data analysis support to the feasibility team on all aspects of Investigator/site feasibility and patient recruitment planning data.,,26 days ago
Data Analyst,AECOM,"Hybrid remote in Sathangadu, Chennai, Tamil Nadu","The Data Analyst will report, interpret review and analyze data and develop/translate business processes and requirements into value-added propositions and cost…",,30+ days ago
Data Analyst,Ford Global Business Services,"Chennai, Tamil Nadu","Crafting and executing queries upon request for data.
Designing, developing and maintaining business intelligence dashboards that turn data into knowledge.",,30+ days ago
Senior Data Analyst– FCC Data Technology,Standard Chartered,"Chennai, Tamil Nadu","Upstream data teams, who provide the data that the analyst is sourcing.
High quality written and verbal communication skills, with the ability to focus on…",,30+ days ago
Inventory Analyst,Valeo,"Chennai, Tamil Nadu","Provide data for inventory accuracy indicators and discrepancies’ analysis :
 Provide all necessary data for inventory accuracy indicators and discrepancies’…",,27 days ago
Knowledge Analyst - Manufacturing & Supply Chain,McKinsey & Company,"Chennai, Tamil Nadu",You will spend a part of your time doing general analytical work for the whole clientele of McKinsey which includes usage of statistical techniques and…,,30+ days ago
Fraud Risk Analyst,Worldline,"Chennai, Tamil Nadu","About Worldline Worldline is the European leader in digital payments and number four worldwide, powered by over 20,000 employees in more than 50 countries.…",,16 days ago
GFT Data Services- Business Analyst – Chennai - AVP/C12 (R22...,Citi,"Chennai, Tamil Nadu","Experience in data analysis with intermediate/advanced Microsoft Office Suite skills.
Proven interpersonal, data analysis, diplomatic, management and…",,12 days ago
GFT Data Services- Data Analyst – Chennai - Manager/C11 (R22...,Citi,"Chennai, Tamil Nadu","Experience in data analysis with intermediate/advanced Microsoft Office Suite skills.
Proven analytical, data analysis, organization and presentation skills.",,30+ days ago
"Analyst, Data Strategy",Standard Chartered,"Chennai, Tamil Nadu","Hands-on experience in data used for models development and best practices in data management.
Assess problem statements & propose potential solutions by…",,30+ days ago
Process Mining - Data Analyst,Danfoss,"Oragadam, Chennai, Tamil Nadu","Should have strong process & data analytic skills.
Perform in-depth data analysis in close cooperation with Process Experts.",,30+ days ago
Senior Analyst-Data Maintenance,Accenture,"Chennai, Tamil Nadu","The role may also need expertise in managing clinical data management projects.
The team is responsible for performing data management activities including…",,8 days ago
newBusiness Data Analyst - Marketing,Lennox International,"Chennai, Tamil Nadu","Prepare and analyze historical data and identify patterns.
Designing and implementing your own algorithms and data structures.",,Today
DATA ANALYST,Luxoft,"Chennai, Tamil Nadu","Perform data analysis, and profiling of loans data.
Ability to understand dimensional data models (Data Marts) and financial /accounting data.",,22 days ago
IIOT - Data Analyst,Flex,"Chennai, Tamil Nadu","Develop and perform data parsing and extraction from text, log files and organize into structured data.
Knowledge of data structures and algorithms.",,30+ days ago
Business Analytics- Data Analyst,Citi,"Chennai, Tamil Nadu","Ability to identify golden data source and data discovery from available meta data.
Hands on experience on data extraction/aggregation from Enterprise level…",,15 days ago
Workday Services Data Analyst,WPP IT,"Remote in Chennai, Tamil Nadu","Experience developing data conversion and validation rules in master data tools.
Support data requests and maintenance alongside our AMS partner.",,30+ days ago
Supply Chain Order Management Analyst II,Hewlett Packard Enterprise,"Chennai, Tamil Nadu","Analyze the Open orders data and improve the order cycle time.
As part of Regional Fulfilment Operations- Backlog management the Order management Analyst role…",,30+ days ago
Business Analyst,Optum,"Chennai, Tamil Nadu","Analyze and interpret data to identify trends, patterns and opportunities for the business and clients.
1+ years of experience in business/finance including…",,15 days ago
Senior Data Analyst,RELX,"Chennai, Tamil Nadu","In practice, this will mean embracing and solving complex data challenges, defining and maintaining fit-for-purpose data models, continuously improving our data…",,9 days ago
TTS Data Testing QA Analyst,Citi,"Chennai, Tamil Nadu",The IT Quality Senior Supervisor provides leadership and supervisory responsibility for medium-sized operational/administrative team(s)) of clerical/support…,,27 days ago
Sr Data Engineering Analyst,Optum,"Chennai, Tamil Nadu","4+ years of experience working with data, analyzing data and understanding data.
3+ years of experience working with patient health care data.",,30+ days ago
Survey Programmer (Qualtrics) and Data Analysis,Hewlett Packard Enterprise,"Chennai, Tamil Nadu","Proficient in efficiently presenting data via reports and presentations.
Performing quality assurance on data and analytical models to ensure accuracy.",,14 days ago
Data Analyst,Exeter Premedia Services Pvt Ltd,"Chennai, Tamil Nadu","Collect and interpret data of various teams.
Identify patterns and trends in data sets.
Define new data collection and analysis processes.",,30+ days ago
Associate Professional Programmer Analyst (51000240),DXC Technology,"Chennai, Tamil Nadu","Performs data analysis to support internal and external project needs.
Assists in the completion of unit testing by preparing test data, running tests and…",,28 days ago
newGFT Data Services- Business Analyst – Chennai - Officer/C11(...,Citi,"Chennai, Tamil Nadu","Experience in data analysis with intermediate/advanced Microsoft Office Suite skills.
Proven analytical, data analysis, organization and presentation skills.",,2 days ago
Blockchain AML Data Analyst,PayPal,"Chennai, Tamil Nadu","Structure and refine analysis with the goal of distilling insights from the data.
Structure and refine analysis with the goal of distilling insights from the…",,13 days ago
Data Analytics Senior Analyst - C12,Citi,"Chennai, Tamil Nadu","Mines and analyzes data from various banking platforms to drive optimization and improve data quality.
Conducts strategic data analysis, identifies insights and…",,15 days ago
newAnalyst-Investment Banking,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
Years of Experience: 3-5 years.",,2 days ago
Data Analyst - Customer Experience.,Skill-Lync,"Chennai, Tamil Nadu","Proactively gather the right data from appropriate sources, conduct root cause analysis,.
Daily real-time monitoring of service levels for all queues at all…",,30+ days ago
Senior Data Change Analyst,Standard Chartered,"Chennai, Tamil Nadu","Minimum 1-year exposure to data handling and governance areas like data discovery, data inventory and mapping, data loss prevention, data and application…",,30+ days ago
newAssociate - Business Data Analyst,Lennox International,"Chennai, Tamil Nadu","Work closely with marketing analysts to define data requirements for analytics projects.
Two years of work experience in data management disciplines including…",,2 days ago
newDigital S/W Eng Intm Analyst,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,7 days ago
newBusiness Systems Analyst 1,IQVIA,"Chennai, Tamil Nadu","Thorough knowledge of IQVIA data and current systems.
We believe in pushing the boundaries of human science and data science to make the biggest impact possible…",,7 days ago
Analyst - MSTR,AstraZeneca,"Chennai, Tamil Nadu","We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.
Leverage technology to impact patients and ultimately save…",,17 days ago
Lead Data Analyst,BNY Mellon,"Chennai, Tamil Nadu",Acts as a liaison to data owners to establish necessary data stewardship responsibilities (accountability for a particular data element/verifying accuracy of…,,23 days ago
TTS Data Testing - IT Quality Analyst,Citi,"Chennai, Tamil Nadu",The IT Quality Senior Supervisor provides leadership and supervisory responsibility for medium-sized operational/administrative team(s)) of clerical/support…,,30+ days ago
newData and Information Management Sr Analyst – C10,Citi,"Chennai, Tamil Nadu","Exposure to Big data, Python.
Audit Support: Tracking implementation plans and providing data evidence, artifacts for audit completion.",,6 days ago
newSenior Data Analyst - Engineer 3 (GSM)-1,Comcast,"Chennai, Tamil Nadu","Work closely with our data engineers to ensure accurate and timely data.
Work with data modelers/analysts to understand the business problems they are trying to…",,2 days ago
Quality Analyst,ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","Carries interest on data analytics.
Carries interest on data analytics.
Minimum 2 years of operations experience.
Complex problem solving/deep dive skills.",,30+ days ago
II0T- Data Analyst,Flex,"Chennai, Tamil Nadu","Develop and perform data parsing and extraction from text, log files and organize into structured data.
Knowledge of data structures and algorithms.",,30+ days ago
newCG 55 FP&A Analyst,Philips,"Chennai, Tamil Nadu","In addition, FP&A is in the midst of digital transformation through automation, driving innovation in improving forecasting and prediction capabilities,…",,7 days ago
newFlexcube Tech Analyst,Citi,"Chennai, Tamil Nadu","Experience in writing simple to SQL complex queries for data extraction and data analysis.
The IT Business Analyst 1 is an entry-level position responsible for…",,6 days ago
newBusiness Data Analyst - Network Design,Lennox International,"Chennai, Tamil Nadu","Analyze data and propose solutions.
Comfortable in handling large data sets.
General data handling and analyzing skills.
Good knowledge of supply chain.",,2 days ago
"newBusiness Analyst - ESG and Sustainable Finance FCD PMO ,GSC'...",HSBC,"Chennai, Tamil Nadu","Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.",,Today
DG - Assistant Manager - Data Analyst,Genpact,"Chennai, Tamil Nadu",Manage and validate data sets from various services operations data sources and combine/map those data sets based on business logics and design outputs that are…,,30+ days ago
AML_Analyst,Société Générale,"Chennai, Tamil Nadu","Surveillance - Detect and confirm patterns of behavior by analyzing structured and unstructured data including large data volumes.
Starting date: 2022/05/16.",,30+ days ago
Analyst-Risk & compliance,Accenture,"Chennai, Tamil Nadu",The role may require for you to perform verification of client data ensuring compliance with international regulations and internal policies and perform due…,,28 days ago
newApplication Support Analyst,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,5 days ago
Business Operations Analyst II,HP,"Chennai, Tamil Nadu","Strong analytical and data modeling skills.
Gathers demand data from country, region, and account managers to contribute to demand planning.",,25 days ago
Application Dev Analyst,Honeywell,"Chennai, Tamil Nadu","You will support change that brings value to our customers, partners, and shareholders through the creation of innovative software and data-driven products and…",,14 days ago
IT Specialist - Data Analyst,Mott MacDonald,"Chennai, Tamil Nadu","Passionate about data and realising value from data.
You must have experience modelling data, with statistical techniques and data visualisation.",,30+ days ago
Analyst - E Learning/LMS Specialist,AstraZeneca,"Chennai, Tamil Nadu","We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.
Leverage technology to impact patients and ultimately save…",,8 days ago
Business Analyst - Risk,Infosys Limited,"Chennai, Tamil Nadu","A day in the life of an Infoscion • As part of the Infosys consulting team, your primary role would be to get to the heart of customer issues, diagnose problem…",,30+ days ago
Associate - Client Insights Analyst,Cognizant,"Remote in Chennai, Tamil Nadu","Interest in – and familiarity with – data analysis and the ability to ‘slice and dice’ data.
Experience as an analyst or similar role is required.",,17 days ago
Analyst-Audit,Verizon,"Chennai, Tamil Nadu",Engage effectively with stakeholders on performance of these reviews and apply data analytics and or / other audit procedures to evaluate the design and…,,14 days ago
Content Analyst,Clarivate,"Chennai, Tamil Nadu","Used to work paying attention to detail, with high ability to interpret and explain large amount of data.
Gain unique expertise with internal access to vast…",,30+ days ago
Cash and Trade Proc Analyst 1 - C09,Citi,"Chennai, Tamil Nadu","Evaluate and recommend solutions to problems through data analysis, technical experience and precedent.
The Cash and Trade Proc Analyst 1 is an intermediate…",,15 days ago
Business Analyst (Immediate),ZakApps,"Chennai, Tamil Nadu","Extensive practical knowledge in importing data for use in report software, spreadsheets, graphs, and flow charts.
Excellent listening and interpersonal skills.",,30+ days ago
Data Analyst,Petrofac,"Chennai, Tamil Nadu","Validation of data sent for system entry.
Quality assurance of data entered into system.
Knowledge of and adherence to SLAs is respect of data tasks.",,30+ days ago
"Senior Analyst, FCSO",Standard Chartered,"Chennai, Tamil Nadu","Analysis skills: able to analyze data trends and out of pattern activities, working knowledge of Internet and MS Office Suite & independently assimilate,…",,12 days ago
Quality Analyst,ADCI - Tamil Nadu,"Chennai, Tamil Nadu","This will help is efficient data aggregation.
SM auditor should have an eye for detail and data accuracy skills.
Bachelor's Degree from good school.",,30+ days ago
newData Analytics and Interpretation Functional Data Integratio...,Accenture,"Chennai, Tamil Nadu","Aligned with data governance, predictive modeling, and/or data visualization.
Key Responsibilities : a:Expertise in Risk and Finance data analysis, data…",,5 days ago
Data Analyst,Skill-Lync,"Chennai, Tamil Nadu","Proven working experience in data analysis.
Set up and maintain automated data processes.
Liaise with multiple departments to understand data content.",,30+ days ago
newSr. Associate - LPS Operations Analyst,Pfizer,"Chennai, Tamil Nadu","Complete understanding calculations and performance improvement activities related to data quality.
Monitor and govern the Logistics Service Providers data…",,7 days ago
Analyst - Operations Reporting,AstraZeneca,"Chennai, Tamil Nadu","Participate in regular data audits, ensuring data integrity and adherence to established standards, procedures and best practices, both internally and…",,12 days ago
Data Analyst,ARi,"Chennai, Tamil Nadu",Job Details Required skills : Data Security Experience : 3 - 5 Years Location : Chennai Job Description Data…,,30+ days ago
FP&A Analyst - Assistant Manager,Philips,"Chennai, Tamil Nadu","In addition, FP&A is in the midst of digital transformation through automation, driving innovation in improving forecasting and prediction capabilities,…",,15 days ago
Reporting Analyst,Shell,"Chennai, Tamil Nadu","Timely and effective responses to special data/project requests.
Understanding all internal group reporting and analysis requirements for Holdings and Treasury…",,27 days ago
Business Analyst,Synamedia,"Chennai, Tamil Nadu","Providing data analyst/dashboard support on specific Operations projects.
Compilation and analysis of various monthly reports including global monthly mobile…",,30+ days ago
Sr. Data Analyst,Oportun Inc,"Remote in Chennai, Tamil Nadu","Excellent data story-telling abilities and experience with data visualization and BI tools (Birst, Tableau, Looker, etc.).",,16 days ago
Associate Level 1 - SMC Analyst,BNP Paribas,"Chennai, Tamil Nadu","Identification of and correlation with other data sources to enhance security event.
Identification of and correlation with other data sources to enhance…",,30+ days ago
Jr Operations Strategy Analyst,Visteon Corporation,"Chennai, Tamil Nadu","B) Consolidates the information flow between PD and manufacturing locations.
C) Coordinates and develops optimum industrialization proposals in collaboration…",,9 days ago
Data Analyst,NCR,"Chennai, Tamil Nadu","Solving any data or performance issues related to Tableau workbooks and data sources.
In-depth knowledge of statistical methodologies and data analysis…",,30+ days ago
BPA Analyst,Airtel India,"Chennai, Tamil Nadu","Expert data analytics and modeling skills in Excel.
Experience working with large, complex and incomplete data sets and Reconciliation.",,30+ days ago
Internal Audit - Senior Data Analyst,Logitech,"Chennai, Tamil Nadu","§ Interact with management and business partners to identify appropriate data sources and data elements required for analytics, applying professional skepticism…",,30+ days ago
IAM Compliance Analyst - Opportunity for Working Remotely Ch...,VMware,"Remote in Chennai, Tamil Nadu",Analyze the recertification data and monitor the progress to ensure recertification completion within the project timelines and assist to publish these data as…,,8 days ago
Delphi - Data Analyst - L5,Incedo,"Chennai, Tamil Nadu","Ability to develop data analytics and visualization solutions using:
Our uniqueness lies in bringing together strong engineering, data science, and design…",,30+ days ago
Business Analyst,Société Générale,"Chennai, Tamil Nadu","Have business analyst or data analysis experience.
Know how to collect and analyze data and propose syntheses of work.",,30+ days ago
Data Analyst- Migration,Tekion,"Chennai, Tamil Nadu","Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",,30+ days ago
Associate - SEO Analyst,AstraZeneca,"Chennai, Tamil Nadu","Report on performance metrics comparing them to our SEO goals and benchmarking data.
At least 3+ years of experience in Organic Search and having an Analytical…",,9 days ago
Senior Analyst - Data Analysis Specialist,AstraZeneca,"Chennai, Tamil Nadu",Demonstrated experience in a data analyst or business role aligned to data and information management role with practical examples of performing data analysis…,,30+ days ago
Analyst - General Ledger,Flex,"Chennai, Tamil Nadu",Willingness to work in complex environment with strict deadlines on projects • Analyze data & come with findings on automation opportunity.,,24 days ago
BI Developer_SSE,BNP Paribas,"Chennai, Tamil Nadu","The developer is expected to design, develop & maintain the Business Intelligence solutions deployed across APAC and Global FRESH teams.",,30+ days ago
newSr. Technical Product Support Analyst,TransUnion,"Chennai, Tamil Nadu","Analyzing evaluating and troubleshooting data and data formats.
Credit reporting (reading & evaluating credit data).
Drive escalated items to resolution.",,Today
newSenior Analyst_Procurement,Pfizer,"Chennai, Tamil Nadu","Produce data analysis reporting in appropriate format for use by Procurement colleagues.
Examples: Lifting, sitting, standing, walking, bending, ability to…",,7 days ago
Data Analyst,Six Sigma,"Chennai, Tamil Nadu","Job Title Opening for Data Analyst.
Experience - Minimum No.Of Years 2.0.
Experience - Maximum No.Of Years 10.0.",,30+ days ago
Analyst-Reporting,Accenture,"Chennai, Tamil Nadu",The role will require for you to work on Microsoft Power BI to help visualize data and share discoveries and collaborate in intuitive new ways.,,30+ days ago
Ops Sup Intermed Analyst - C11,Citi,"Chennai, Tamil Nadu","Interpret data and results based on the analysis of information and application of professional judgement.
The Ops Sup Intermed Analyst is an intermediate level…",,29 days ago
"CI Analyst, Risk",Standard Chartered,"Chennai, Tamil Nadu","Provide inputs in shaping the Retail Risk Operations strategic direction.
Work with in-country stakeholders to deliver against the Retail Risk Operations…",,30+ days ago
Data Analytics Lead Analyst,Citi,"Chennai, Tamil Nadu","Experience analyzing incident, problem and change data.
Maintain a suite of daily, weekly, monthly metrics along with data import data from golden sources into…",,30+ days ago
Business Analyst (Fresher),Spritle,"Chennai, Tamil Nadu","Demonstrated ability in data analysis and insight mining.
At Spritle, we build software with top-notch technologies to give solutions for various business…",,30+ days ago
Senior Consultant - Data Analyst,AstraZeneca,"Chennai, Tamil Nadu","Acquire data from primary or secondary data sources and perform data profiling.
Interpret data, analyze results and provide quick data analysis.",,30+ days ago
Business Analyst - Payments,Standard Chartered,"Chennai, Tamil Nadu","Basic SQL knowledge to query data base and familiarity with Oracle DB concepts.
Bachelors / Masters in from Information Technology, Engineering or Business…",,30+ days ago
Business Analyst - Campaigns,Barclays,"Chennai, Tamil Nadu", Work closely with the Customer Targeting analyst where you need to make sure that the data and comms elements are aligned.,,30+ days ago
newBusiness Analyst,ADCI - Tamil Nadu,"Chennai, Tamil Nadu","Be a thought leader on data systems, data mining and analysis to scale BOS capabilities, uncover trends and develop insights.
Experience with SQL or ETL.",,2 days ago
newSupply Chain Analyst,Vestas,"Chennai, Tamil Nadu","Ability to understand the Master data parameters and its implications on the planning side.
Basic statistics knowledge with interest in handlung data using SQL…",,Just posted
newVMO Security Analyst,Comcast,"Chennai, Tamil Nadu","Strong data analysis and operational support skills.
We are looking for a talented and dedicated audit analyst to support Enterprise Supplier Management…",,Today
"Content Analyst, Research",JLL,"Chennai, Tamil Nadu","You will also be involved in data cleaning, preparation, interpretation and analysis using statistical technique and tools in Excel, Internal CRM database and…",,30+ days ago
Software QA Analyst,"Hottinger, Bruel & Kjaer","Chennai, Tamil Nadu","You will be responsible for Manual / Interactive / Automated testing of various products produced by HBK.
You will join our dedicated R&D department supporting…",,28 days ago
Risk Analyst 2,PayPal,"Chennai, Tamil Nadu","The role requires a data analyst who embodies PayPal values and customer centric approach.
This data analyst will work in a fast-paced environment, replete with…",,17 days ago
newFinance Analyst,Wells Fargo,"Sholinganallur, Chennai, Tamil Nadu","Position - Hire 1 Sr data analyst / Data Consultant to support MDSS deliverables.
Good expertise in Data Lineage, data flow / architecture and data quality.",,7 days ago
Associate Software Quality Analyst,Pearson,"Chennai, Tamil Nadu","Data mining and detailed data analysis on data warehousing systems.
Provide input and support big data testing initiative.
Experience in Snowflake and CI/CD.",,30+ days ago
Analyst - Campaign Operator,AstraZeneca,"Chennai, Tamil Nadu","Experience with marketing customer data models.
Manage data requests for omnichannel targeting and stitching.
Capture meta-data generated by tool (e.g. campaign…",,30+ days ago
Business Data Analyst 2,GP Strategies Corporation,"Chennai, Tamil Nadu","Summary: Responsible for management information reporting and co-ordinating business intelligence for designated contracts, focussing on report creation, data…",,30+ days ago
"Specialist, Data Management Quantitative Analysis",BNY Mellon,"Chennai, Tamil Nadu","Be able to understand and execute analytical models as a part of data preparation and reporting.
For the Market and Counterparty Risk Data and Controls Team, we…",,13 days ago
Senior Data Analyst,Mr. Cooper,"Chennai, Tamil Nadu","Data integration and building a data warehouse for automating the Business Intelligence system.
Must have Skills: SQL, SSRS, SSIS/Power BI/other reporting tools…",,30+ days ago
newReporting Analyst,IBM,"Chennai, Tamil Nadu","Ability to glean insights from data, ability to handle large quantum of data and use disparate data sets to arrive at insights.",,2 days ago
TEST INTERMEDIATE ANALYST - WEALTH - CHENNAI,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,30+ days ago
Data and Information analytics AVP- C12,Citi,"Chennai, Tamil Nadu","Perform maker-checker analysis and data validation.
Overall experience of 8-12 years with 3+ years of experience in managing teams & delivering reporting/ data…",,30+ days ago
Post Trade Clearing and Settlement Business Analyst,Accenture,"Chennai, Tamil Nadu","Technical Experience : Should have knowledge of trade lifecycle, derivative products, regulatory requirements and restrictions with command in clearing…",,22 days ago
Digital Marketing Analyst,ZoomRx,"Chennai, Tamil Nadu","Create repeatable data processes to increase the team’s efficiency and reduce data-gathering burden.
The digital marketing analyst will play a key role in…",,15 days ago
newBusiness Analyst,ADCI - Karnataka,"Chennai, Tamil Nadu","Deep dive into massive data sets to answer key business questions using SQL, MS Excel and other data manipulation languages.
Experience with SQL or ETL.",,5 days ago
Professional 1 Business Analyst (51005644),DXC Technology,"Chennai, Tamil Nadu",Assists in analyzing and documenting client's business requirements and processes; communicates these requirements to technical personnel by constructing basic…,,30+ days ago
Data and Insights Analyst,AstraZeneca,"Chennai, Tamil Nadu",Some experience in a data analyst or business role aligned to data and information management with practical examples of performing data analysis in terms of…,,30+ days ago
Software Programmer – Data Analytics,SeaportAI,"Chennai, Tamil Nadu","Knowledge of databases and big data environment is advantageous for this role.
We are looking for programmers with knowledge and experience in R, Python or SAS.",,10 days ago
Analyst- AML,Société Générale,"Chennai, Tamil Nadu",Surveillance - Detect and confirm patterns of behavior by analyzing structured and unstructured data including large data volumes.,,30+ days ago
Research Analyst,ASSPL - Tamil Nadu,"Tiruvallur, Chennai, Tamil Nadu","(Understanding logic of data pull and writing basic queries to pull multiple data for analysis purpose.
The Data analysts play a crucial role in creating unique…",,30+ days ago
